image,subj_ident_pre,subj_ident_gray,subj_ident_post,verbal_acc_pre,verbal_acc_gray,verbal_acc_post,sem_dist_pre,sem_dist_gray,sem_dist_post,sem_entropy_pre,sem_entropy_gray,sem_entropy_post,diff_mean_subj_ident,diff_mean_verbal_acc,diff_mean_sem_dist,diff_mean_sem_entropy,info_gain_sem_dist,info_gain_entropy,info_gain_sem_dist_gray,info_gain_entropy_gray
bagpipe,0.7333333333333333,1.0,1.0,0.6666666666666666,0.8,0.8,0.0654421051664903,0.0,0.0,0.4394969869215134,-0.0,-0.0,0.2666666666666667,0.13333333333333341,-0.0654421051664903,-0.4394969869215134,0.0654421051664903,0.4394969869215134,0.0654421051664903,0.4394969869215134
baklava,0.0714285714285714,0.6428571428571429,0.5714285714285714,0.0,0.2857142857142857,0.2857142857142857,0.69838559301113,0.2903197181138477,0.2528863456332122,2.807354922057604,2.321928094887362,2.058813890331201,0.5,0.2857142857142857,-0.4454992473779178,-0.7485410317264032,0.4454992473779178,0.7485410317264032,0.4080658748972823,0.485426827170242
balance_beam,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4806950589714744,0.533226840455168,0.5643321325861929,2.413088436425758,2.8423709931771084,3.327819531114783,0.16666666666666674,0.0,0.08363707361471845,0.9147310946890252,-0.08363707361471845,-0.9147310946890252,-0.052531781483693585,-0.4292825567513505
ball,0.5789473684210527,0.9473684210526316,0.8947368421052632,0.2631578947368421,0.8947368421052632,0.6842105263157895,0.4123463382756893,0.0,0.1662249098120903,2.692380602454975,-0.0,1.2577148214953864,0.3157894736842105,0.4210526315789474,-0.246121428463599,-1.4346657809595884,0.246121428463599,1.4346657809595884,0.4123463382756893,2.692380602454975
balloon,0.4666666666666667,0.9333333333333332,0.9333333333333332,0.0666666666666666,0.8,0.7333333333333333,0.6236881138140183,0.0763177268752867,0.122911124900104,2.8150724101159437,0.5916727785823275,0.946372935985442,0.46666666666666656,0.6666666666666667,-0.5007769889139143,-1.8686994741305016,0.5007769889139143,1.8686994741305016,0.5473703869387316,2.223399631533616
ballot_box,0.6363636363636364,0.5909090909090909,0.8181818181818182,0.0454545454545454,0.2272727272727272,0.2272727272727272,0.7393908849730784,0.5133527418051614,0.5404520019936863,3.640223928941851,2.715326698771809,3.096161187118111,0.18181818181818188,0.18181818181818182,-0.1989388829793921,-0.54406274182374,0.1989388829793921,0.54406274182374,0.22603814316791693,0.9248972301700422
bamboo,0.4,1.0,1.0,0.55,1.0,1.0,0.2122806815217769,0.0,0.0,1.9447167900528528,-0.0,-0.0,0.6,0.44999999999999996,-0.2122806815217769,-1.9447167900528528,0.2122806815217769,1.9447167900528528,0.2122806815217769,1.9447167900528528
banana,0.8947368421052632,1.0,1.0,0.4210526315789473,0.631578947368421,0.631578947368421,0.0665440619317904,0.0,0.0557840059144927,0.5032583347756457,-0.0,0.3912435636292556,0.10526315789473684,0.21052631578947373,-0.010760056017297695,-0.11201477114639014,0.010760056017297695,0.11201477114639014,0.0665440619317904,0.5032583347756457
banana_peel,0.05,0.9,1.0,0.1,0.4,0.45,0.5772398031205013,0.0771280342546607,0.0358094444753781,3.4182958340544896,1.3346791410515946,1.198117421130403,0.95,0.35,-0.5414303586451231,-2.2201784129240867,0.5414303586451231,2.2201784129240867,0.5001117688658405,2.083616693002895
banana_split,0.0666666666666666,1.0,0.7333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.5853928784722027,0.2784724016693522,0.343600074592342,3.169925001442312,2.4416298737872246,2.6535442970305683,0.6666666666666667,0.3333333333333333,-0.24179280387986068,-0.5163807044117439,0.24179280387986068,0.5163807044117439,0.30692047680285045,0.7282951276550875
bandage,0.2,0.9333333333333332,0.9333333333333332,0.0666666666666666,0.2,0.1333333333333333,0.6765728205020392,0.3342448145099734,0.4346770470000778,2.846439344671015,0.8112781244591328,1.2366407419411674,0.7333333333333332,0.06666666666666671,-0.24189577350196134,-1.6097986027298476,0.24189577350196134,1.6097986027298476,0.34232800599206575,2.035161220211882
bandanna,0.4,0.7,0.8,0.0,0.0,0.0,0.5321894614195558,0.2014853068684893,0.2635180123701517,3.3248629576173565,2.1735572622751858,2.7806390622295662,0.4,0.0,-0.2686714490494041,-0.5442238953877903,0.2686714490494041,0.5442238953877903,0.3307041545510665,1.1513056953421708
banjo,0.4827586206896552,0.9310344827586208,0.9655172413793104,0.3103448275862069,0.5517241379310345,0.5862068965517241,0.3018576607442962,0.0944261601745237,0.0869410268943485,2.912505605412089,1.6423714487439018,1.431338052541757,0.4827586206896552,0.2758620689655172,-0.2149166338499477,-1.4811675528703319,0.2149166338499477,1.4811675528703319,0.2074315005697725,1.270134156668187
